age,weight,height,bmi,fitness_level,fitness_level_name,goal,goal_name,category,category_label
64,76.54,189.23,21.37,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
28,60.97,156.82,24.79,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
51,92.75,177.74,29.36,2,Advanced,2,General Fitness,8,Advanced - General Fitness
51,71.12,175.7,23.04,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
59,109.68,197.48,28.12,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
27,102.67,153.31,43.68,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
23,81.95,166.44,29.58,2,Advanced,2,General Fitness,8,Advanced - General Fitness
28,50.69,156.44,20.71,2,Advanced,2,General Fitness,8,Advanced - General Fitness
28,55.41,182.04,16.72,0,Beginner,2,General Fitness,2,Beginner - General Fitness
49,80.55,183.38,23.95,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
36,106.63,167.25,38.12,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
39,51.65,156.03,21.22,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
63,72.32,175.17,23.57,0,Beginner,2,General Fitness,2,Beginner - General Fitness
26,51.92,174.06,17.14,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
47,56.77,168.86,19.91,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
53,105.47,187.41,30.03,0,Beginner,2,General Fitness,2,Beginner - General Fitness
64,72.79,174.23,23.98,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
31,79.69,187.37,22.7,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
24,96.54,192.22,26.13,2,Advanced,2,General Fitness,8,Advanced - General Fitness
62,110.04,167.71,39.12,2,Advanced,2,General Fitness,8,Advanced - General Fitness
42,100.31,159.11,39.62,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
34,60.86,166.37,21.99,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
30,89.52,183.96,26.45,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
62,80.97,179.21,25.21,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
64,100.91,171.58,34.27,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
58,70.31,194.98,18.49,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
62,69.78,196.68,18.04,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
38,56.46,162.3,21.44,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
47,58.0,194.84,15.28,2,Advanced,2,General Fitness,8,Advanced - General Fitness
48,75.78,199.12,19.11,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
19,88.2,195.87,22.99,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
47,57.82,183.43,17.18,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
32,85.13,173.83,28.17,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
23,117.6,185.55,34.16,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
29,53.61,180.53,16.45,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
28,114.9,166.03,41.68,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
23,70.25,156.72,28.6,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
61,60.13,184.23,17.72,0,Beginner,2,General Fitness,2,Beginner - General Fitness
54,45.2,155.83,18.61,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
52,71.17,196.48,18.44,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
31,114.97,199.55,28.87,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
52,114.48,186.08,33.06,0,Beginner,2,General Fitness,2,Beginner - General Fitness
58,101.29,189.98,28.06,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
54,106.09,183.26,31.59,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
21,68.71,179.42,21.35,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
57,73.27,173.13,24.44,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
40,77.91,178.87,24.35,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
64,73.79,177.18,23.51,2,Advanced,2,General Fitness,8,Advanced - General Fitness
23,115.49,181.39,35.1,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
64,91.51,176.67,29.32,2,Advanced,2,General Fitness,8,Advanced - General Fitness
53,119.83,187.62,34.04,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
44,100.8,151.68,43.81,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
27,82.05,187.73,23.28,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
30,53.3,192.32,14.41,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
25,56.24,161.46,21.57,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
44,93.09,184.7,27.29,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
44,70.93,159.08,28.03,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
23,75.06,173.1,25.05,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
29,113.39,156.96,46.03,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
50,46.36,193.61,12.37,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
25,93.85,188.56,26.4,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
26,76.81,186.82,22.01,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
28,78.81,155.66,32.53,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
63,58.97,191.87,16.02,0,Beginner,2,General Fitness,2,Beginner - General Fitness
57,90.59,168.97,31.73,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
27,105.21,150.23,46.62,0,Beginner,2,General Fitness,2,Beginner - General Fitness
42,109.76,196.15,28.53,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
44,100.31,172.61,33.67,2,Advanced,2,General Fitness,8,Advanced - General Fitness
61,113.46,162.41,43.01,0,Beginner,2,General Fitness,2,Beginner - General Fitness
23,47.54,165.57,17.34,0,Beginner,2,General Fitness,2,Beginner - General Fitness
60,92.42,150.65,40.72,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
24,118.17,172.95,39.51,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
45,85.13,159.22,33.58,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
49,50.03,187.5,14.23,2,Advanced,2,General Fitness,8,Advanced - General Fitness
49,80.12,181.25,24.39,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
33,87.36,153.29,37.18,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
64,84.57,176.72,27.08,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
47,86.97,157.76,34.94,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
56,101.49,163.62,37.91,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
51,75.66,151.27,33.06,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
46,75.6,177.59,23.97,2,Advanced,2,General Fitness,8,Advanced - General Fitness
25,52.81,190.0,14.63,2,Advanced,2,General Fitness,8,Advanced - General Fitness
50,86.75,186.04,25.07,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
49,109.18,191.51,29.77,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
38,75.48,166.2,27.33,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
27,51.41,160.39,19.98,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
36,88.73,171.07,30.32,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
64,91.86,166.79,33.02,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
20,89.27,163.4,33.43,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
55,103.04,168.14,36.45,0,Beginner,2,General Fitness,2,Beginner - General Fitness
39,103.48,155.71,42.68,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
63,80.33,159.11,31.73,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
34,65.15,177.08,20.78,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
56,61.35,182.25,18.47,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
46,57.88,163.62,21.62,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
35,84.72,190.75,23.28,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
51,86.56,182.57,25.97,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
59,55.5,163.18,20.84,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
44,89.81,180.03,27.71,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
24,88.0,191.91,23.89,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
63,48.52,158.31,19.36,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
53,102.82,153.41,43.69,2,Advanced,2,General Fitness,8,Advanced - General Fitness
53,98.93,164.86,36.4,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
51,74.75,197.7,19.12,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
50,65.24,176.99,20.83,2,Advanced,2,General Fitness,8,Advanced - General Fitness
60,108.48,197.76,27.74,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
26,102.82,155.33,42.61,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
18,82.16,184.42,24.16,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
56,50.7,153.89,21.41,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
55,89.27,168.05,31.61,2,Advanced,2,General Fitness,8,Advanced - General Fitness
34,116.27,172.3,39.16,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
33,110.47,186.61,31.72,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
40,99.31,181.86,30.03,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
42,93.5,184.66,27.42,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
43,47.96,185.28,13.97,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
40,86.69,173.66,28.74,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
32,97.31,164.87,35.8,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
40,104.65,187.25,29.85,2,Advanced,2,General Fitness,8,Advanced - General Fitness
35,84.18,182.23,25.35,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
41,62.25,156.03,25.57,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
54,84.77,172.05,28.64,2,Advanced,2,General Fitness,8,Advanced - General Fitness
32,105.3,176.92,33.64,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
30,91.94,194.3,24.35,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
19,46.83,193.5,12.51,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
30,84.67,196.95,21.83,2,Advanced,2,General Fitness,8,Advanced - General Fitness
56,45.71,152.63,19.62,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
61,92.06,193.68,24.54,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
27,51.88,166.82,18.64,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
47,45.25,173.37,15.06,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
21,98.67,179.46,30.64,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
63,48.38,155.47,20.02,0,Beginner,2,General Fitness,2,Beginner - General Fitness
54,103.98,154.47,43.58,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
63,90.06,195.19,23.64,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
24,119.34,161.58,45.71,0,Beginner,2,General Fitness,2,Beginner - General Fitness
62,54.03,152.35,23.28,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
58,58.98,188.98,16.52,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
22,92.23,160.82,35.66,0,Beginner,2,General Fitness,2,Beginner - General Fitness
37,119.62,158.69,47.5,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
35,97.2,157.69,39.09,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
30,61.79,176.85,19.76,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
54,51.86,193.87,13.8,2,Advanced,2,General Fitness,8,Advanced - General Fitness
45,80.75,152.22,34.85,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
26,69.68,196.58,18.03,2,Advanced,2,General Fitness,8,Advanced - General Fitness
51,75.63,168.63,26.6,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
43,84.95,198.11,21.64,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
30,108.84,174.76,35.64,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
20,71.09,183.9,21.02,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
62,100.04,176.06,32.27,0,Beginner,2,General Fitness,2,Beginner - General Fitness
58,70.05,161.93,26.71,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
53,91.4,187.64,25.96,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
60,117.1,173.27,39.0,2,Advanced,2,General Fitness,8,Advanced - General Fitness
59,54.67,166.76,19.66,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
48,45.08,177.81,14.26,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
29,45.48,164.35,16.84,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
58,92.39,162.99,34.78,0,Beginner,2,General Fitness,2,Beginner - General Fitness
23,66.25,150.92,29.09,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
45,92.45,196.6,23.92,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
21,58.03,188.54,16.32,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
29,50.05,179.11,15.6,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
43,50.6,192.62,13.64,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
46,78.45,182.38,23.58,0,Beginner,2,General Fitness,2,Beginner - General Fitness
46,46.66,166.18,16.9,2,Advanced,2,General Fitness,8,Advanced - General Fitness
28,96.25,172.3,32.42,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
46,115.82,155.11,48.14,0,Beginner,2,General Fitness,2,Beginner - General Fitness
32,104.61,184.68,30.67,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
31,62.25,156.57,25.4,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
61,47.35,186.56,13.6,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
37,74.82,163.71,27.92,2,Advanced,2,General Fitness,8,Advanced - General Fitness
18,69.06,186.22,19.91,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
52,47.34,182.58,14.2,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
61,80.49,198.41,20.45,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
34,51.84,157.68,20.85,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
24,91.97,156.56,37.52,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
20,58.91,173.1,19.66,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
24,54.39,184.28,16.02,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
39,88.65,163.45,33.18,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
